koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CANDIDATE,10.181584,177.141891,0.92,3.5089,5.74E+03,0.084708,0.38059,7.73,0.0884,85.87,129,5988,4.541,-0.52,0.836,0.885,15.657,16.162,15.621,15.441,15.32,14.408,14.036,13.939
CONFIRMED,20.06036336,147.46554,0.556,3.3203,1.49E+03,0.036455,3.09445,1.96,0.115,89.21,59,3950,4.754,-0.46,0.493,0.502,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116
CONFIRMED,46.1842039,165.23729,0.013,4.758,1.39E+03,0.033974,3.99779,1.83,0.2005,89.99,25,3950,4.754,-0.46,0.493,0.502,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116
CONFIRMED,23.9800854,147.537,0.95,5.351,1.04E+02,0.011879,0.05654,1.31,0.1602,85.45,56,5854,4.406,-0.12,1.012,0.951,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431
CONFIRMED,7.82502168,136.54995,0.708,2.186,5.21E+02,0.022312,2.54508,1.2,0.0614,87.99,154,3950,4.754,-0.46,0.493,0.502,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116
CONFIRMED,3.895936525,170.527552,0.524,2.3111,8.54E+03,0.08689,2.31292,7.34,0.046,87.56,275,5557,4.592,-0.3,0.774,0.866,15.725,16.318,15.676,15.471,15.299,14.364,13.969,13.924
CONFIRMED,22.36646466,175.45862,0.4,5.228,9.87E+02,0.028938,1.12517,2.32,0.1449,89.26,48,5395,4.615,-0.34,0.734,0.821,15.583,16.2,15.535,15.318,15.201,14.236,13.849,13.714
CONFIRMED,1.625522174,170.8266564,0.076,2.38963,7.97E+03,0.080543,1.28198,9.73,0.0265,89.22,657,5539,4.322,0.16,1.106,0.935,15.001,15.595,14.923,14.746,14.625,13.656,13.355,13.307
CANDIDATE,19.62034692,181.881819,0.458,2.0038,2.17E+04,0.137595,23.21659,13.6,0.1389,89.66,52,5710,4.492,-0.1,0.905,0.928,15.562,16.07,15.519,15.344,15.269,14.364,13.996,13.894
FALSE POSITIVE,7.544039,171.7982,1.175,6.222,3.23E+02,0.194187,0.00393,17.47,0.0731,58.94,143,5657,4.567,-0.18,0.824,0.919,15.559,16.125,15.509,15.316,15.222,14.282,13.905,13.841
CONFIRMED,9.02930689,177.20422,0.024,3.1449,1.02E+03,0.028718,2.66613,2.57,0.0796,89.94,146,5349,4.526,-0.12,0.82,0.824,15.387,16.037,15.302,15.108,14.931,13.931,13.479,13.429
FALSE POSITIVE,10.32803571,174.581054,0.281,7.7915,1.69E+04,0.118805,0.23528,13.28,0.0888,88.54,114,5627,4.359,-0.1,1.024,0.874,15.646,16.254,15.594,15.386,15.256,14.332,13.883,13.844
CONFIRMED,143.2063047,154.23552,0.379,8.9302,1.06E+04,0.094044,1.83449,8.9,0.5336,89.83,9,5485,4.556,0.21,0.867,0.986,15.403,16.048,15.349,15.126,15.017,13.997,13.618,13.581
CONFIRMED,6.164876,135.63916,0.646,3.262,5.58E+01,0.007192,0.69664,0.79,0.0648,86.69,207,5854,4.406,-0.12,1.012,0.951,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431
CONFIRMED,60.32494216,243.892578,0.224,6.6188,2.03E+04,0.128744,2.37656,12.19,0.2998,89.83,22,5485,4.556,0.21,0.867,0.986,15.403,16.048,15.349,15.126,15.017,13.997,13.618,13.581
CONFIRMED,29.1598615,150.69922,0.3619,4.803,4.88E+02,0.02018,1.92739,1.91,0.1847,89.38,,5485,4.556,0.21,0.867,0.986,15.403,16.048,15.349,15.126,15.017,13.997,13.618,13.581
FALSE POSITIVE,1.540397253,170.50479,1.225,2.1541,8.16E+02,0.257087,0.06102,25.69,0.0264,51.56,842,5663,4.53,0.21,0.915,1.034,15.974,16.573,15.894,15.718,15.607,14.629,14.281,14.171
FALSE POSITIVE,2.99025443,171.9834,0.014,5.414,5.89E+02,0.021279,0.17407,1.7,0.0367,89.81,454,4667,4.578,0.1,0.731,0.737,15.842,16.828,15.856,15.42,15.132,14.024,13.419,13.279
CONFIRMED,1.594745374,170.6483505,0.514,1.9604,1.50E+04,0.115879,1.77544,11.3,0.0258,85.25,762,5934,4.491,-0.38,0.893,0.901,15.53,16.028,15.49,15.316,15.2,14.35,13.941,13.917
CONFIRMED,4.783002698,170.508434,0.003,2.335,1.01E+03,0.028315,3.45234,2.5,0.0535,89.99,281,5170,4.574,0.18,0.807,0.891,15.119,15.847,15.037,14.808,14.681,13.643,13.232,13.203
CONFIRMED,20.50588921,181.43428,0.26,4.0595,2.11E+03,0.041039,2.64998,3.41,0.1326,89.62,69,4905,4.544,-0.04,0.761,0.739,15.398,16.241,15.343,15.036,14.877,13.842,13.251,13.216
CONFIRMED,3.340218842,171.979062,0.466,1.9104,1.63E+03,0.037683,3.23586,2.03,0.0348,87.85,398,3950,4.754,-0.46,0.493,0.502,15.954,17.187,15.978,15.425,15.103,13.952,13.278,13.116
FALSE POSITIVE,2.507089906,171.002455,1.255,2.0067,1.34E+03,0.295115,0.11003,30.26,0.0365,67.79,408,5926,4.506,-0.04,0.939,1.03,15.555,16.109,15.512,15.317,15.284,14.3,13.958,13.912
CONFIRMED,18.64932728,174.771,0.08,4.4056,8.94E+02,0.027096,1.97596,3.12,0.139,89.86,71,5775,4.405,0.16,1.053,1.026,15.386,15.867,15.354,15.179,15.139,14.252,13.906,13.807
CONFIRMED,4.90144976,138.60548,0.529,4.1654,1.41E+02,0.011136,0.3709,1.7,0.0586,86.1,193,5847,4.191,0.26,1.402,1.113,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06
CONFIRMED,9.75192101,138.78608,0.949,4.793,4.18E+02,0.024042,0.044,2.76,0.0902,80.97,132,5775,4.405,0.16,1.053,1.026,15.386,15.867,15.354,15.179,15.139,14.252,13.906,13.807
CONFIRMED,38.5576546,163.85063,0.911,5.794,9.93E+02,0.03498,0.19756,4.02,0.2255,87.91,37,5775,4.405,0.16,1.053,1.026,15.386,15.867,15.354,15.179,15.139,14.252,13.906,13.807
CONFIRMED,3.525632539,170.0479951,0.12,2.59959,2.23E+04,0.13372,2.43681,11.58,0.0431,89.41,382,5150,4.572,0.08,0.793,0.855,15.224,15.961,15.142,14.908,14.758,13.767,13.295,13.234
